employee_id,full_name,company,country,city,department,job_family,job_title,job_level,manager_id,manager_name,employee_type,contract_type,shift_type,hire_date,exit_date,status,onboarding_completed,onboarding_completion_date,training_completed,safety_training_completed,last_training_date,performance_review_completed,engagement_score,absenteeism_days_ytd,overtime_hours_qtr,hr_system,automation_candidate,data_issue
OMN-00001,Martin Kask,AS Eesti Post,Estonia,Pärnu,Parcel Locker Network,Technical Operations,Parcel Locker Technician,Junior,OMN-01813,Siim Mägi,Full-time,Fixed-term,Standard office hours,2017-02-17,,Active,Yes,2017-03-24,Yes,Yes,2023-11-18,Yes,95,2,0,SAP SuccessFactors,No,
OMN-00002,Tanel Mägi,AS Eesti Post,Estonia,Narva,Last-Mile Delivery,Operations,Senior Courier,Senior,OMN-00992,Anu Mägi,Full-time,Permanent,Evening,2017-06-27,,Active,Yes,2017-07-02,Yes,Yes,2025-09-01,Yes,78,6,29,SAP SuccessFactors,No,
OMN-00003,Maarja Kask,AS Eesti Post,Estonia,Tallinn,Sales & Partnerships,Commercial,Sales Specialist,Specialist,OMN-01006,Anu Rebane,Full-time,Permanent,Hybrid,2020-06-28,2026-03-31,Exited,Yes,2020-07-14,Yes,Not required,2023-06-26,No,58,2,4,SAP SuccessFactors,No,
OMN-00004,Martin Kukk,AS Eesti Post,Estonia,Rakvere,Last-Mile Delivery,Operations,Courier,Junior,OMN-00074,Kadri Mägi,Full-time,Permanent,Morning,2015-04-04,,Active,Yes,2015-04-27,No,Yes,,Yes,95,0,25,SAP SuccessFactors,No,
OMN-00005,Anu Lepp,AS Eesti Post,Estonia,Rakvere,Postal Services,Operations,Postal Service Specialist,Junior,OMN-01088,Siim Mägi,Seasonal,Permanent,Standard office hours,2022-12-16,,Active,Yes,2022-12-29,Yes,Yes,2025-04-28,Yes,92,8,7,SAP SuccessFactors,No,
OMN-00006,Evelin Koppel,AS Eesti Post,Estonia,Tallinn,IT & Product,Technology,Junior Software Engineer,Junior,OMN-01522,Laura Kask,Full-time,Permanent,Standard office hours,2019-12-26,,Active,Yes,2020-02-13,Yes,Not required,2022-12-08,Not eligible,86,10,0,SAP SuccessFactors,No,
OMN-00007,Kadri Sepp,AS Eesti Post,Estonia,Pärnu,Parcel Locker Network,Technical Operations,Parcel Locker Technician,Specialist,OMN-00597,Triin Rebane,Full-time,Permanent,Standard office hours,2026-02-05,2026-03-07,Exited,Yes,2026-02-23,No,Yes,,Yes,59,7,12,SAP SuccessFactors,Yes,
OMN-00008,Laura Sepp,AS Eesti Post,Estonia,Narva,Customer Support,Support,Senior Customer Support Agent,Senior,OMN-01375,Maarja Lepp,Full-time,Service contract,Weekend support,2019-12-12,,Active,Yes,2020-01-29,Yes,Not required,2023-06-10,Yes,77,0,11,SAP SuccessFactors,Yes,
OMN-00009,Maarja Lepp,AS Eesti Post,Estonia,Pärnu,Last-Mile Delivery,Operations,Courier,Junior,OMN-00118,Kadri Mägi,Full-time,Permanent,Night,2026-06-04,,Active,Yes,2026-06-09,No,Yes,,Not eligible,71,2,11,SAP SuccessFactors,Yes,
OMN-00010,Kadri Ilves,AS Eesti Post,Estonia,Tartu,Finance,Finance,Pricing Specialist,Specialist,OMN-00530,Tanel Rebane,Full-time,Permanent,Standard office hours,2023-02-17,,Active,Yes,2023-04-04,Yes,Not required,2023-09-06,Yes,60,4,13,SAP SuccessFactors,Yes,
